Table,,,,
Marks ,GP,Grade,,
-,0,F,0.00,Zero point zero
0,0,F,0.00,Zero point zero
*1,0,F,0.00,Zero point zero
*2,0,F,0.00,Zero point zero
*3,0,F,0.00,Zero point zero
*4,0,F,0.00,Zero point zero
*5,0,F,0.00,Zero point zero
*6,0,F,0.00,Zero point zero
*7,0,F,0.00,Zero point zero
*8,0,F,0.00,Zero point zero
*9,0,F,0.01,Zero point zero one
*10,0,F,0.01,Zero point zero one
*11,0,F,0.01,Zero point zero one
*12,0,F,0.01,Zero point zero one
*13,0,F,0.01,Zero point zero one
*14,0,F,0.01,Zero point zero one
*15,0,F,0.01,Zero point zero one
*16,0,F,0.01,Zero point zero one
*17,0,F,0.01,Zero point zero one
*18,0,F,0.01,Zero point zero one
*19,0,F,0.02,Zero point zero two
*20,0,F,0.02,Zero point zero two
*21,0,F,0.02,Zero point zero two
*22,0,F,0.02,Zero point zero two
*23,0,F,0.02,Zero point zero two
*24,0,F,0.02,Zero point zero two
*25,0,F,0.02,Zero point zero two
*26,0,F,0.02,Zero point zero two
*27,0,F,0.02,Zero point zero two
*28,0,F,0.02,Zero point zero two
*29,0,F,0.03,Zero point zero three
*30,0,F,0.03,Zero point zero three
*31,0,F,0.03,Zero point zero three
*32,0,F,0.03,Zero point zero three
*33,0,F,0.03,Zero point zero three
*34,0,F,0.03,Zero point zero three
*35,0,F,0.03,Zero point zero three
*36,0,F,0.03,Zero point zero three
*37,0,F,0.03,Zero point zero three
*38,0,F,0.03,Zero point zero three
*39,0,F,0.04,Zero point zero four
*40,0,F,0.04,Zero point zero four
*41,0,F,0.04,Zero point zero four
*42,0,F,0.04,Zero point zero four
*43,0,F,0.04,Zero point zero four
*44,0,F,0.04,Zero point zero four
*45,0,F,0.04,Zero point zero four
*46,0,F,0.04,Zero point zero four
*47,0,F,0.04,Zero point zero four
*48,0,F,0.04,Zero point zero four
*49,0,F,0.05,Zero point zero five
50.0,2.0,C,0.05,Zero point zero five
50.1,2.0,C,0.05,Zero point zero five
50.2,2.0,C,0.05,Zero point zero five
50.3,2.0,C,0.05,Zero point zero five
50.4,2.0,C,0.05,Zero point zero five
50.5,2.0,C,0.05,Zero point zero five
50.6,2.0,C,0.05,Zero point zero five
50.7,2.0,C,0.05,Zero point zero five
50.8,2.0,C,0.05,Zero point zero five
50.9,2.0,C,0.06,Zero point zero six
51.0,2.0,C,0.06,Zero point zero six
51.1,2.0,C,0.06,Zero point zero six
51.2,2.0,C,0.06,Zero point zero six
51.3,2.0,C,0.06,Zero point zero six
51.4,2.0,C,0.06,Zero point zero six
51.5,2.1,C,0.06,Zero point zero six
51.6,2.1,C,0.06,Zero point zero six
51.7,2.1,C,0.06,Zero point zero six
51.8,2.1,C,0.06,Zero point zero six
51.9,2.1,C,0.07,Zero point zero seven
52.0,2.1,C,0.07,Zero point zero seven
52.1,2.1,C,0.07,Zero point zero seven
52.2,2.1,C,0.07,Zero point zero seven
52.3,2.1,C,0.07,Zero point zero seven
52.4,2.1,C,0.07,Zero point zero seven
52.5,2.1,C,0.07,Zero point zero seven
52.6,2.1,C,0.07,Zero point zero seven
52.7,2.1,C,0.07,Zero point zero seven
52.8,2.1,C,0.07,Zero point zero seven
52.9,2.1,C,0.08,Zero point zero eight
53.0,2.2,C,0.08,Zero point zero eight
53.1,2.2,C,0.08,Zero point zero eight
53.2,2.2,C,0.08,Zero point zero eight
53.3,2.2,C,0.08,Zero point zero eight
53.4,2.2,C,0.08,Zero point zero eight
53.5,2.2,C,0.08,Zero point zero eight
53.6,2.2,C,0.08,Zero point zero eight
53.7,2.2,C,0.08,Zero point zero eight
53.8,2.2,C,0.08,Zero point zero eight
53.9,2.2,C,0.09,Zero point zero nine
54.0,2.2,C,0.09,Zero point zero nine
54.1,2.2,C,0.09,Zero point zero nine
54.2,2.2,C,0.09,Zero point zero nine
54.3,2.2,C,0.09,Zero point zero nine
54.4,2.2,C,0.09,Zero point zero nine
54.5,2.3,C,0.09,Zero point zero nine
54.6,2.3,C,0.09,Zero point zero nine
54.7,2.3,C,0.09,Zero point zero nine
54.8,2.3,C,0.09,Zero point zero nine
54.9,2.3,C,0.10,Zero point one
55.0,2.3,C,0.10,Zero point one
55.1,2.3,C,0.10,Zero point one
55.2,2.3,C,0.10,Zero point one
55.3,2.3,C,0.10,Zero point one
55.4,2.3,C,0.10,Zero point one
55.5,2.3,C,0.10,Zero point one
55.6,2.3,C,0.10,Zero point one
55.7,2.3,C,0.10,Zero point one
55.8,2.3,C,0.10,Zero point one
55.9,2.3,C,0.11,Zero point one one
56.0,2.4,C,0.11,Zero point one one
56.1,2.4,C,0.11,Zero point one one
56.2,2.4,C,0.11,Zero point one one
56.3,2.4,C,0.11,Zero point one one
56.4,2.4,C,0.11,Zero point one one
56.5,2.4,C,0.11,Zero point one one
56.6,2.4,C,0.11,Zero point one one
56.7,2.4,C,0.11,Zero point one one
56.8,2.4,C,0.11,Zero point one one
56.9,2.4,C,0.12,Zero point one two
57.0,2.4,C,0.12,Zero point one two
57.1,2.4,C,0.12,Zero point one two
57.2,2.4,C,0.12,Zero point one two
57.3,2.4,C,0.12,Zero point one two
57.4,2.4,C,0.12,Zero point one two
57.5,2.5,C,0.12,Zero point one two
57.6,2.5,C,0.12,Zero point one two
57.7,2.5,C,0.12,Zero point one two
57.8,2.5,C,0.12,Zero point one two
57.9,2.5,C,0.13,Zero point one three
58.0,2.5,C,0.13,Zero point one three
58.1,2.5,C,0.13,Zero point one three
58.2,2.5,C,0.13,Zero point one three
58.3,2.5,C,0.13,Zero point one three
58.4,2.5,C,0.13,Zero point one three
58.5,2.5,C,0.13,Zero point one three
58.6,2.5,C,0.13,Zero point one three
58.7,2.5,C,0.13,Zero point one three
58.8,2.5,C,0.13,Zero point one three
58.9,2.5,C,0.14,Zero point one four
59.0,2.6,C,0.14,Zero point one four
59.1,2.6,C,0.14,Zero point one four
59.2,2.6,C,0.14,Zero point one four
59.3,2.6,C,0.14,Zero point one four
59.4,2.6,C,0.14,Zero point one four
59.5,2.6,C,0.14,Zero point one four
59.6,2.6,C,0.14,Zero point one four
59.7,2.6,C,0.14,Zero point one four
59.8,2.6,C,0.14,Zero point one four
59.9,2.6,C,0.15,Zero point one five
60.0,2.6,C,0.15,Zero point one five
60.1,2.6,C,0.15,Zero point one five
60.2,2.6,C,0.15,Zero point one five
60.3,2.6,C,0.15,Zero point one five
60.4,2.6,C,0.15,Zero point one five
60.5,2.7,C,0.15,Zero point one five
60.6,2.7,C,0.15,Zero point one five
60.7,2.7,C,0.15,Zero point one five
60.8,2.7,C,0.15,Zero point one five
60.9,2.7,C,0.16,Zero point one six
61.0,2.7,C,0.16,Zero point one six
61.1,2.7,C,0.16,Zero point one six
61.2,2.7,C,0.16,Zero point one six
61.3,2.7,C,0.16,Zero point one six
61.4,2.7,C,0.16,Zero point one six
61.5,2.7,C,0.16,Zero point one six
61.6,2.7,C,0.16,Zero point one six
61.7,2.7,C,0.16,Zero point one six
61.8,2.7,C,0.16,Zero point one six
61.9,2.7,C,0.17,Zero point one seven
62.0,2.8,C,0.17,Zero point one seven
62.1,2.8,C,0.17,Zero point one seven
62.2,2.8,C,0.17,Zero point one seven
